PEDIDO,OS,FABRICANTE,STATUS,DESCRIÇÃO PRODUTO,COD,BTUS,NF FABRICANTE,LIQUIDAÇÃO,SETOR,FOTOS,DEFEITO,ALERTA
444585N,6944,AGRATTO,ABERTO,(006) 006000 - AGRATTO MOD-CAR09 Cortina de Ar 90cm,006000,0,,,FABRICANTE,https://drive.google.com/drive/folders/1XbivW4WQlJB-4ANTjt1tLW-3jtyfx6BM?usp=drive_link,,
451282N,6945,LG,ABERTO,(002) 002595 - Cond. Z3UW24GFB1 - R32 - MULTI - Q/F - LG,002595,24000,,,DANIFICADOS,https://drive.google.com/drive/folders/1MjvLLbR6Wq2hKnvFMZXO3hombI8vb1Nz?usp=drive_link,AVARIA NO ESTOQUE,
437375N,6946,DAIKIN,ABERTO,(005) 005172 - Evap. FTKP18S5VL EcoSwing Smart Gold R-32 18 Frio - Daikin,005172,18000,,,DANIFICADOS,https://drive.google.com/drive/folders/1_7DsKjeQ1LkbhfBW0ktnxdy7iSuc5OQz?usp=drive_link,tampa frontal avariada ( vários riscos ),
393928N,6782,DAIKIN,ABERTO,(005) 005171 - Cond. RHP12S5VL EcoSwing Smart Gold R-32 12 Quente - Daikin,005171,12000,aguardando envio fabric,,FABRICANTE,,,
393594N,6794,MIDEA,ABERTO,(004) 004661 - Cond. Teto 38CCW060535MC FRIO 220V Trif. - Carrier,004661,57000,,,DANIFICADOS,https://photos.app.goo.gl/AqYqL4pEEaBUgEqKA,somente embalagem avariada,
393594N,6795,MIDEA,ABERTO,(004) 004661 - Cond. Teto 38CCW060535MC FRIO 220V Trif. - Carrier,004661,57000,,,DANIFICADOS,https://photos.app.goo.gl/mcJkX2N1V4SdFUw8A,somente embalagem avariada,
400927N,6828,DAIKIN,ABERTO,(005) 005185 - Cond RKP12Q5VL EcoSwing R-32 12 Frio - Daikin,005185,12000,,,FABRICANTE,,,
400287N,6832,DAIKIN,ABERTO,(005) 005573 - Painel K71v BC50P-WF MULTI - Daikin,005573,0,,,FABRICANTE,,,
402611N,6833,DAIKIN,ABERTO,(005) 005166 - Evap. FTHP09S5VL EcoSwing Smart Gold R-32 09 Quente - Daikin,005166,9000,,,FABRICANTE,,,
402611N,6834,DAIKIN,ABERTO,(005) 005167 - Cond. RHP09S5VL EcoSwing Smart Gold R-32 09 Quente - Daikin,005167,9000,,,FABRICANTE,,,
